timestamp,frame,tracking_lost,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_gesture,left_gesture_confidence,left_gesture_angle,right_gesture,right_gesture_confidence,right_gesture_angle
2.05427,28,0,0.60221,0.711027,-0.0429624,0.999906,0.338188,0.71296,0.0769985,0.999724,0.795369,0.897482,-0.354964,0.982706,0.150015,0.864611,-0.26839,0.946763,0.703624,0.465684,-0.60145,0.995038,0.208951,0.428542,-0.730334,0.953429,pronation,0.638655,0.127731,supination,1,0.274368
2.11667,29,0,0.602783,0.711485,-0.0304938,0.999911,0.339666,0.715013,0.0699827,0.999739,0.795508,0.897639,-0.344693,0.983586,0.15152,0.864951,-0.268673,0.951193,0.713748,0.470622,-0.603685,0.995443,0.202511,0.429448,-0.730576,0.957737,pronation,0.630661,0.126132,pronation,1,0.302579
2.18674,30,0,0.603501,0.711313,-0.0184541,0.999911,0.340562,0.714591,0.0729603,0.999746,0.796223,0.89844,-0.324554,0.984276,0.151995,0.86256,-0.246062,0.955415,0.73146,0.477026,-0.597938,0.995694,0.194266,0.426811,-0.707543,0.961262,pronation,0.63724,0.127448,pronation,1,0.312317
2.25302,31,0,0.604909,0.709185,-0.000910131,0.999913,0.342359,0.709919,0.071801,0.999756,0.797621,0.898971,-0.293388,0.984932,0.150525,0.861648,-0.228072,0.959257,0.744341,0.477588,-0.573802,0.995816,0.178199,0.432459,-0.650005,0.964102,pronation,0.802611,0.160522,pronation,1,0.33873
2.3136,32,0,0.606573,0.708954,-0.00253155,0.999914,0.346896,0.707346,0.0699723,0.999766,0.798288,0.898754,-0.30035,0.985563,0.148916,0.859367,-0.269547,0.962456,0.753162,0.473288,-0.5727,0.996004,0.170854,0.456568,-0.761087,0.96669,pronation,0.897889,0.179578,pronation,1,0.3487
2.38656,33,0,0.607225,0.708829,-0.00312339,0.999914,0.347327,0.705464,0.0693889,0.999777,0.797807,0.898114,-0.305072,0.986179,0.147541,0.85599,-0.243193,0.965649,0.751216,0.458862,-0.586303,0.996226,0.171996,0.455837,-0.686531,0.969376,pronation,1,0.239511,supination,1,0.410566
2.45625,34,0,0.607362,0.709124,-0.0141185,0.999911,0.347464,0.705358,0.0642554,0.999779,0.793566,0.898104,-0.310697,0.986484,0.149866,0.856143,-0.217177,0.968348,0.748723,0.459081,-0.610252,0.996384,0.174103,0.455306,-0.631395,0.971725,pronation,1,0.254572,pronation,1,0.423802
2.5541,35,0,0.608971,0.715476,-0.00729492,0.999909,0.347683,0.708811,0.0557543,0.999774,0.793905,0.90338,-0.293292,0.986682,0.154196,0.862532,-0.227158,0.970116,0.745134,0.459616,-0.584863,0.996499,0.175759,0.446562,-0.67165,0.973446,pronation,1,0.262089,pronation,1,0.435378
2.61912,36,0,0.609243,0.716713,-0.0220994,0.999914,0.348106,0.709597,0.0363408,0.999785,0.794026,0.904778,-0.316005,0.986853,0.157187,0.867678,-0.320259,0.971732,0.743887,0.461664,-0.59234,0.996745,0.182847,0.446418,-0.841085,0.975661,pronation,1,0.250391,supination,1,0.433939
2.69558,37,0,0.611546,0.718649,-0.0223466,0.999914,0.348163,0.709453,0.031418,0.999789,0.79485,0.915742,-0.314974,0.986598,0.159321,0.870661,-0.323122,0.973292,0.745651,0.478305,-0.577592,0.996874,0.184093,0.446394,-0.832146,0.977472,pronation,1,0.272579,pronation,1,0.431236
2.76026,38,0,0.612006,0.719834,-0.0479255,0.999912,0.346996,0.709025,0.00591504,0.999794,0.794898,0.922894,-0.349298,0.986317,0.159311,0.872713,-0.385805,0.974759,0.745103,0.48947,-0.621435,0.997074,0.184295,0.446252,-0.949773,0.979415,pronation,1,0.292257,pronation,1,0.414715
2.82261,39,0,0.613142,0.720108,-0.106102,0.999911,0.346609,0.709612,-0.0296202,0.999797,0.795335,0.928096,-0.474551,0.985524,0.160878,0.878052,-0.442083,0.975706,0.744661,0.489695,-0.819328,0.997297,0.179202,0.453323,-1.03725,0.981221,pronation,1,0.317041,pronation,1,0.420522
2.88942,40,0,0.613151,0.721199,-0.0950616,0.999904,0.346586,0.710301,-0.0106258,0.999777,0.79175,0.934973,-0.446578,0.98451,0.162121,0.882117,-0.39738,0.976148,0.744031,0.494796,-0.757717,0.997434,0.179976,0.466364,-0.961045,0.982511,supination,1,0.313177,pronation,1,0.413256
